serial_number,drone_type,bandwidth_from,id_from,bandwidth_to,id_to,ratio,bandwidth_pair
SerialNumber_1,Mini 3,10MHz,195,40MHz,387,1.9846153846153847,10MHz_to_40MHz
SerialNumber_1,Mini 3,40MHz,387,10MHz,195,0.5038759689922481,40MHz_to_10MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,487,2.4974358974358974,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,514,2.635897435897436,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,486,2.4923076923076923,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,493,2.528205128205128,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,1,0.005128205128205128,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,494,2.533333333333333,10MHz_to_20MHz
SerialNumber_106,Mini 3,10MHz,195,20MHz,101,0.517948717948718,10MHz_to_20MHz
SerialNumber_106,Mini 3,20MHz,487,10MHz,195,0.4004106776180698,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,514,10MHz,195,0.37937743190661477,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,486,10MHz,195,0.4012345679012346,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,493,10MHz,195,0.39553752535496955,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,1,10MHz,195,195.0,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,494,10MHz,195,0.39473684210526316,20MHz_to_10MHz
SerialNumber_106,Mini 3,20MHz,101,10MHz,195,1.9306930693069306,20MHz_to_10MHz
SerialNumber_108,Mavic Mini 2,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_108,Mavic Mini 2,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_119,Mini SE,20MHz,494,10MHz,195,0.39473684210526316,20MHz_to_10MHz
SerialNumber_119,Mini SE,20MHz,101,10MHz,195,1.9306930693069306,20MHz_to_10MHz
SerialNumber_119,Mini SE,10MHz,195,20MHz,494,2.533333333333333,10MHz_to_20MHz
SerialNumber_119,Mini SE,10MHz,195,20MHz,101,0.517948717948718,10MHz_to_20MHz
SerialNumber_125,Mini 2 SE,40MHz,77,10MHz,195,2.5324675324675323,40MHz_to_10MHz
SerialNumber_125,Mini 2 SE,10MHz,195,40MHz,77,0.39487179487179486,10MHz_to_40MHz
SerialNumber_127,Mavic Air 2,10MHz,195,40MHz,1046,5.364102564102564,10MHz_to_40MHz
SerialNumber_127,Mavic Air 2,40MHz,1046,10MHz,195,0.1864244741873805,40MHz_to_10MHz
SerialNumber_143,Air 3,10MHz,195,40MHz,387,1.9846153846153847,10MHz_to_40MHz
SerialNumber_143,Air 3,40MHz,387,10MHz,195,0.5038759689922481,40MHz_to_10MHz
SerialNumber_155,Air 3,10MHz,195,20MHz,233,1.1948717948717948,10MHz_to_20MHz
SerialNumber_155,Air 3,20MHz,233,10MHz,195,0.8369098712446352,20MHz_to_10MHz
SerialNumber_193,Mavic Mini 2,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_193,Mavic Mini 2,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_196,Mavic 3C,10MHz,195,20MHz,407,2.0871794871794873,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,195,20MHz,264,1.353846153846154,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,195,20MHz,406,2.082051282051282,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,147,20MHz,407,2.7687074829931975,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,147,20MHz,264,1.7959183673469388,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,147,20MHz,406,2.761904761904762,10MHz_to_20MHz
SerialNumber_196,Mavic 3C,10MHz,195,40MHz,119,0.6102564102564103,10MHz_to_40MHz
SerialNumber_196,Mavic 3C,10MHz,147,40MHz,119,0.8095238095238095,10MHz_to_40MHz
SerialNumber_196,Mavic 3C,20MHz,407,10MHz,195,0.47911547911547914,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,407,10MHz,147,0.36117936117936117,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,264,10MHz,195,0.7386363636363636,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,264,10MHz,147,0.5568181818181818,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,406,10MHz,195,0.4802955665024631,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,406,10MHz,147,0.3620689655172414,20MHz_to_10MHz
SerialNumber_196,Mavic 3C,20MHz,407,40MHz,119,0.29238329238329236,20MHz_to_40MHz
