drone_type,bandwidth_pair,ratio,ratio,ratio,ratio
,,count,mean,median,std
Air 3,10MHz_to_20MHz,15,1.6770130454340981,2.0526315789473686,1.26123800413219
Air 3,10MHz_to_40MHz,4,1.8105937921727395,1.3974358974358974,1.639304792004072
Air 3,20MHz_to_10MHz,15,27.120948579831513,0.48717948717948717,68.17519024331932
Air 3,20MHz_to_40MHz,6,26.857950958710873,0.30590541736014276,64.24974120386322
Air 3,40MHz_to_10MHz,4,1.1293184908507252,0.8690265920910607,1.0246824456545438
Air 3,40MHz_to_20MHz,6,2.3660611540358376,3.268987341772152,1.6521959328805782
DJI Air 2S,10MHz_to_20MHz,8,1.7076923076923076,1.9102564102564101,1.2469690877087276
DJI Air 2S,10MHz_to_40MHz,4,0.9012820512820513,0.8051282051282052,0.8136505239377029
DJI Air 2S,20MHz_to_10MHz,8,1.3905922367079082,0.6240013401371063,1.4258581352903437
DJI Air 2S,20MHz_to_40MHz,24,1.2955090068475383,0.4719252873563219,2.040001759247401
DJI Air 2S,40MHz_to_10MHz,4,25.12201329604553,1.2420886075949367,48.25324644071066
DJI Air 2S,40MHz_to_20MHz,24,56.49836016696482,2.4482707215265354,103.9861181323184
DJI Mini 4K,10MHz_to_20MHz,5,1.2338461538461538,1.1435897435897435,0.9106109818628827
DJI Mini 4K,10MHz_to_40MHz,2,0.4282051282051282,0.4282051282051282,0.5910687452995244
DJI Mini 4K,20MHz_to_10MHz,5,1.467049693813868,0.874439461883408,1.3043016214023386
DJI Mini 4K,20MHz_to_40MHz,5,0.015046663526296081,0.008968609865470852,0.013377452527203473
DJI Mini 4K,40MHz_to_10MHz,2,49.34090909090909,49.34090909090909,68.10723951519519
DJI Mini 4K,40MHz_to_20MHz,5,120.3,111.5,88.78457073163106
M2EA,10MHz_to_20MHz,3,1.5008547008547009,1.1435897435897435,1.431277672120131
M2EA,10MHz_to_40MHz,1,1.9846153846153847,1.9846153846153847,
M2EA,20MHz_to_10MHz,3,1.581631335779318,0.874439461883408,1.7227658371679586
M2EA,20MHz_to_40MHz,3,3.138929881777415,1.7354260089686098,3.419027584533333
M2EA,40MHz_to_10MHz,1,0.5038759689922481,0.5038759689922481,
M2EA,40MHz_to_20MHz,3,0.7562446167097331,0.5762273901808785,0.7211864239365001
M300,10MHz_to_20MHz,14,2.0043956043956044,2.2551020408163263,1.298597373282226
M300,10MHz_to_40MHz,2,7.152590266875981,7.152590266875981,1.4196898472300081
M300,20MHz_to_10MHz,14,24.957536527431518,0.4434399228333273,62.58611653787118
M300,20MHz_to_40MHz,7,174.99465670403737,3.61144578313253,451.55693282163446
M300,40MHz_to_10MHz,2,0.14261884904086738,0.14261884904086738,0.028307861131738343
M300,40MHz_to_20MHz,7,0.28023352793995,0.27689741451209343,0.18234538039262257
Mavic 2,10MHz_to_40MHz,1,0.8102564102564103,0.8102564102564103,
Mavic 2,40MHz_to_10MHz,1,1.2341772151898733,1.2341772151898733,
Mavic 3,10MHz_to_20MHz,3,1.4085470085470086,1.1948717948717948,1.1356900121238882
Mavic 3,20MHz_to_10MHz,3,1.2495849452062606,0.8369098712446352,1.1343168793530671
Mavic 3 Pro,10MHz_to_20MHz,32,1.7794919284889932,1.4405546834118264,1.3666142000661932
Mavic 3 Pro,10MHz_to_40MHz,7,1.0007326007326007,0.8,1.2788179006674607
Mavic 3 Pro,20MHz_to_10MHz,32,7.271257245874362,0.6961377659395125,34.27458719876825
Mavic 3 Pro,20MHz_to_40MHz,25,0.5228898933208344,0.2646566164154104,0.9192114503294885
Mavic 3 Pro,40MHz_to_10MHz,7,28.60701755248054,1.25,47.064230431864054
Mavic 3 Pro,40MHz_to_20MHz,25,71.30416098669264,3.778481012658228,120.08713631507365
Mavic 3C,10MHz_to_20MHz,16,1.7585491889063318,1.9389848246991104,1.0039586591973653
Mavic 3C,10MHz_to_40MHz,4,3.233150183150183,3.0868131868131865,2.932293186133036
Mavic 3C,20MHz_to_10MHz,16,24.95385483042204,0.5185568741603224,66.38085421916034
Mavic 3C,20MHz_to_40MHz,15,152.72711863808715,3.1506024096385543,394.8009293843294
Mavic 3C,40MHz_to_10MHz,4,0.80575239590683,0.7108592959172197,0.7473062707418512
Mavic 3C,40MHz_to_20MHz,15,0.8124393365547444,0.3173996175908222,1.1805778315132618
Mavic 3E/3T/3M,10MHz_to_20MHz,97,2.059090603749348,2.4410256410256412,1.3353423484279283
Mavic 3E/3T/3M,10MHz_to_40MHz,43,2.760609282554397,2.496598639455782,2.431014460565466
Mavic 3E/3T/3M,20MHz_to_10MHz,97,9.408274168882759,0.4096638655462185,37.10225213543392
Mavic 3E/3T/3M,20MHz_to_40MHz,239,24.97136273181174,0.96,125.74487266066602
Mavic 3E/3T/3M,40MHz_to_10MHz,43,14.034013388320881,0.40054495912806537,31.44377013960954
Mavic 3E/3T/3M,40MHz_to_20MHz,239,29.67255019392224,1.0416666666666667,76.44587497972711
Mavic Air 2,10MHz_to_20MHz,8,1.4253249034070952,0.9690551457674745,1.2756169268014361
Mavic Air 2,10MHz_to_40MHz,3,3.1574639971900247,2.3493150684931505,1.9336664298860227
Mavic Air 2,20MHz_to_10MHz,8,1.4099892831984606,1.0665300757692902,1.1653433508013822
Mavic Air 2,20MHz_to_40MHz,4,2.8365180301294544,2.2475065718261944,2.4627750941812536
Mavic Air 2,40MHz_to_10MHz,3,0.393531190132431,0.42565597667638483,0.19305940707068486
Mavic Air 2,40MHz_to_20MHz,4,0.6938775510204082,0.4941690962099125,0.6540799703603841
Mavic Mini,10MHz_to_40MHz,1,5.364102564102564,5.364102564102564,
Mavic Mini,40MHz_to_10MHz,1,0.1864244741873805,0.1864244741873805,
Mavic Mini 2,10MHz_to_20MHz,20,1.7869230769230768,2.3128205128205126,1.1157147819771451
Mavic Mini 2,10MHz_to_40MHz,9,2.466666666666667,1.9846153846153847,2.031715979777983
Mavic Mini 2,20MHz_to_10MHz,20,1.1465834611122228,0.44336055656382334,1.1568926433217825
Mavic Mini 2,20MHz_to_40MHz,55,2.928670338734556,1.1877394636015326,4.608981732493234
Mavic Mini 2,40MHz_to_10MHz,9,0.6999673832433911,0.5038759689922481,0.4633257920871305
Mavic Mini 2,40MHz_to_20MHz,55,1.1352606864095645,0.8419354838709677,1.0185030932640975
