serial_number,drone_type,detection_time,rf_time,time_diff,bandwidth,id_number,rssi,distance
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:45.417,-8.583,10MHz,195,-20.41,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:48.705,-5.295,10MHz,195,-21.09,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:48.906,-5.094,10MHz,195,-18.49,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:50.322,-3.678,10MHz,195,-21.64,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:50.608,-3.392,10MHz,195,-14.85,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:50.899,-3.101,10MHz,195,-20.66,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:53.441,-0.5589999999999999,10MHz,195,-17.2,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:53.721,-0.279,10MHz,195,-15.0,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:54.275,0.275,10MHz,195,-20.87,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:54.543,0.543,10MHz,195,-15.07,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:23:57.229,3.229,10MHz,195,-14.68,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:24:00.927,6.927,10MHz,195,-21.3,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:24:03.635,9.635,10MHz,195,-20.76,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:54,2024-07-07 20:24:03.635,9.635,10MHz,195,-17.44,0.026377308746837642
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:48.705,-9.295,10MHz,195,-21.09,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:48.906,-9.094,10MHz,195,-18.49,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:50.322,-7.678,10MHz,195,-21.64,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:50.608,-7.392,10MHz,195,-14.85,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:50.899,-7.101,10MHz,195,-20.66,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:53.441,-4.559,10MHz,195,-17.2,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:53.721,-4.279,10MHz,195,-15.0,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:54.275,-3.725,10MHz,195,-20.87,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:54.543,-3.457,10MHz,195,-15.07,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:23:57.229,-0.771,10MHz,195,-14.68,0.026379603349335833
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:58,2024-07-07 20:24:00.927,2.927,10MHz,195,-21.3,0.026379603349335833
